Code,Type,Customized Type
1,ipv4-address,defined_unsupported
2,int32,defined_supported
3,ipv4-address,defined_supported
4,ipv4-address,defined_supported
5,ipv4-address,defined_supported
6,ipv4-address,defined_supported
7,ipv4-address,defined_supported
8,ipv4-address,defined_supported
9,ipv4-address,defined_supported
10,ipv4-address,defined_supported
11,ipv4-address,defined_supported
12,string,defined_unsupported
13,uint16,defined_supported
14,string,defined_supported
15,fqdn,defined_supported
16,ipv4-address,defined_supported
17,string,defined_supported
18,string,defined_supported
19,boolean,defined_supported
20,boolean,defined_supported
21,ipv4-address,defined_supported
22,uint16,defined_supported
23,uint8,defined_supported
24,uint32,defined_supported
25,uint16,defined_supported
26,uint16,defined_supported
27,boolean,defined_supported
28,ipv4-address,defined_supported
29,boolean,defined_supported
30,boolean,defined_supported
31,boolean,defined_supported
32,ipv4-address,defined_supported
33,ipv4-address,defined_supported
34,boolean,defined_supported
35,uint32,defined_supported
36,boolean,defined_supported
37,uint8,defined_supported
38,uint32,defined_supported
39,boolean,defined_supported
40,string,defined_supported
41,ipv4-address,defined_supported
42,ipv4-address,defined_supported
43,empty,defined_supported
44,ipv4-address,defined_supported
45,ipv4-address,defined_supported
46,uint8,defined_supported
47,string,defined_supported
48,ipv4-address,defined_supported
49,ipv4-address,defined_supported
50,ipv4-address,defined_unsupported
51,uint32,defined_unsupported
52,uint8,defined_supported
53,string,defined_unsupported
54,ipv4-address,defined_supported
55,uint8 array,defined_unsupported
56,string,defined_supported
57,uint16,defined_supported
58,uint32,defined_unsupported
59,uint32,defined_unsupported
60,string,defined_supported
61,binary,defined_unsupported
62,string,defined_supported
63,binary,defined_supported
64,string,defined_supported
65,ipv4-address,defined_supported
66,string,defined_supported
67,string,defined_supported
68,ipv4-address,defined_supported
69,ipv4-address,defined_supported
70,ipv4-address,defined_supported
71,ipv4-address,defined_supported
72,ipv4-address,defined_supported
73,ipv4-address,defined_supported
74,ipv4-address,defined_supported
75,ipv4-address,defined_supported
76,ipv4-address,defined_supported
77,binary,defined_supported
78,"record (boolean, ipv4-address)",defined_supported
79,"record (boolean, string)",defined_supported
80,,assigned
81,"record (uint8, uint8, uint8, fqdn)",defined_unsupported
82,empty,defined_unsupported
83,,assigned
84,,assigned_unused
85,ipv4-address,defined_supported
86,string,defined_supported
87,string,defined_supported
88,fqdn,defined_supported
89,ipv4-address,defined_supported
90,binary,defined_unsupported
91,uint32,defined_unsupported
92,ipv4-address array,defined_unsupported
93,uint16,defined_supported
94,"record (uint8, uint8, uint8)",defined_supported
95,,assigned_unused
96,,assigned_unused
97,"record (uint8, binary)",defined_supported
98,string,defined_supported
99,binary,defined_supported
100,string,defined_supported
101,string,defined_supported
102,,assigned_unused
103,,assigned_unused
104,,assigned_unused
105,,assigned_unused
106,,assigned_unused
107,,assigned_unused
108,uint32,defined_supported
109,,assigned_unused
110,,assigned_unused
111,,assigned_unused
112,ipv4-address,defined_supported
113,string,defined_supported
114,string,defined_supported
115,,assigned_unused
116,uint8,defined_supported
117,uint16,defined_supported
118,ipv4-address,defined_unsupported
118,,assigned
119,fqdn,defined_supported
120,,assigned
122,,assigned
123,,assigned
124,"record (uint32, binary)",defined_supported
125,uint32,defined_supported
126,,assigned_unused
127,,assigned_unused
128,,assigned
129,,assigned
130,,assigned
131,,assigned
132,,assigned
133,,assigned
134,,assigned
135,,assigned
136,ipv4-address,defined_supported
137,fqdn,defined_supported
138,ipv4-address,defined_supported
139,,assigned
140,,assigned
141,fqdn,defined_supported
142,,assigned
143,tuple,defined_supported
144,,assigned
145,,assigned
146,"record (uint8, ipv4-address, ipv4-address, fqdn)",defined_supported
147,,unassigned
148,,unassigned
149,,unassigned
150,,assigned
151,,assigned
152,,assigned
153,,assigned
154,,assigned
155,,assigned
156,,assigned
157,,assigned
158,,assigned
159,"record (uint8, psid)",defined_supported
160,,assigned
161,,assigned
162,"record (uint16, uint16, uint8, fqdn, binary)",defined_supported
163,,unassigned
164,,unassigned
165,,unassigned
166,,unassigned
167,,unassigned
168,,unassigned
169,,unassigned
170,,unassigned
171,,unassigned
172,,unassigned
173,,unassigned
174,,unassigned
175,,assigned
176,,assigned
177,,assigned
178,,unassigned
179,,unassigned
180,,unassigned
181,,unassigned
182,,unassigned
183,,unassigned
184,,unassigned
185,,unassigned
186,,unassigned
187,,unassigned
188,,unassigned
189,,unassigned
190,,unassigned
191,,unassigned
192,,unassigned
193,,unassigned
194,,unassigned
195,,unassigned
196,,unassigned
197,,unassigned
198,,unassigned
199,,unassigned
200,,unassigned
201,,unassigned
202,,unassigned
203,,unassigned
204,,unassigned
205,,unassigned
206,,unassigned
207,,unassigned
208,,assigned
209,,assigned
210,,assigned
211,,assigned
212,"record (uint8, uint8, ipv6-address, ipv4-address)",defined_supported
213,fqdn,defined_supported
214,,unassigned
215,,unassigned
216,,unassigned
217,,unassigned
218,,unassigned
219,,unassigned
220,,assigned
221,,assigned
222,,unassigned
223,,unassigned
224,,reserved
225,,reserved
226,,reserved
227,,reserved
228,,reserved
229,,reserved
230,,reserved
231,,reserved
232,,reserved
233,,reserved
234,,reserved
235,,reserved
236,,reserved
237,,reserved
238,,reserved
239,,reserved
240,,reserved
241,,reserved
242,,reserved
243,,reserved
244,,reserved
245,,reserved
246,,reserved
247,,reserved
248,,reserved
249,,reserved
250,,reserved
251,,reserved
252,,reserved
253,,reserved
254,,reserved
